layer_order,mlp_layers,mlp_solver,logistic_regressions,svc_kernel,xgb_estimators,rf_estimators,early_stopping_iterations,positions,mean_accuracy,max_accuracy,min_accuracy,std_accuracy,max_false_negative,max_false_positive,max_true_negative,max_true_positive,mean_false_negative,mean_false_positive,mean_true_negative,mean_true_positive,min_false_negative,min_false_positive,min_true_negative,min_true_positive,neg_max_f1,neg_max_precision,neg_max_recall,neg_mean_f1,neg_mean_precision,neg_mean_recall,neg_min_f1,neg_min_precision,neg_min_recall,neg_std_f1,neg_std_precision,neg_std_recall,pos_max_f1,pos_max_precision,pos_max_recall,pos_mean_f1,pos_mean_precision,pos_mean_recall,pos_min_f1,pos_min_precision,pos_min_recall,pos_std_f1,pos_std_precision,pos_std_recall,std_false_negative,std_false_positive,std_true_negative,std_true_positive
xgb=>xgb=>logit3,,,"(0, 0)",[],"[8, 13]",,1,"[2, 2, 5]",0.67090395480226,0.7231638418079096,0.615819209039548,0.03880969396619799,51,17,95,36,44.25,14.0,88.75,30.0,34,9,85,21,0.7949790794979078,0.7364341085271318,0.90625,0.7530231719695046,0.6686413977297145,0.8644954004329005,0.7213114754098361,0.6304347826086957,0.8380952380952381,0.026718798694117384,0.04288003936150777,0.025745240989315337,0.5739130434782609,0.7692307692307693,0.4925373134328358,0.5045578063241107,0.6788111752798286,0.4055267045005851,0.3818181818181819,0.5526315789473685,0.2916666666666667,0.07624505844811712,0.07890712552720713,0.080024428709213,7.189401922274203,3.0,3.766629793329841,5.612486080160912
svc=>logit3=>svc,[],[],"(0, 0)","['rbf', 'linear']",,,3,"[4, 5, 4]",0.6836158192090396,0.7457627118644068,0.6384180790960452,0.04014878645071157,36,28,104,38,30.5,25.5,89.5,31.5,25,20,79,26,0.8221343873517787,0.8062015503875969,0.8387096774193549,0.7599755571082913,0.7444627647776161,0.7765582646464786,0.7247706422018347,0.6991150442477876,0.7523809523809524,0.038539144614931874,0.04381395420714867,0.03595330127183394,0.5588235294117648,0.59375,0.5573770491803278,0.5286000913701423,0.5517379778972521,0.508202888115059,0.4482758620689655,0.48148148148148145,0.41935483870967744,0.046426766468325435,0.04390466996577401,0.05267641799884369,4.6097722286464435,3.278719262151,9.069178573608527,4.769696007084728
mlp=>xgb=>svc=>svc=>mlp=>logit2=>logit3,"[[44, 46, 82], [100, 35]]","['sgd', 'sgd']","(0, 1)","['linear', 'poly']",[40],,3,"[0, 2, 4, 4, 0, 3, 5]",0.673728813559322,0.7175141242937854,0.615819209039548,0.037978332372171644,43,35,104,32,38.25,19.5,91.5,27.75,33,8,77,23,0.8062015503875969,0.7244094488188977,0.9285714285714286,0.7580470403120394,0.7051404363384874,0.8245278166436423,0.6936936936936936,0.6838235294117647,0.6875,0.040891233679594026,0.01503164618492028,0.08723949787319966,0.5344827586206896,0.7419354838709677,0.49230769230769234,0.489303376616529,0.6123258804326127,0.42087446866858635,0.45871559633027525,0.47761194029850745,0.35384615384615387,0.027836072865935275,0.09355745676460651,0.060852884469205344,4.322904116447646,9.810708435174291,9.604686356149273,3.832427429188973
logit1=>rf=>rf=>svc=>svc=>logit3,,,"(1, 0)","['linear', 'poly']",[],"[35, 92]",2,"[1, 6, 6, 4, 4, 5]",0.6694915254237288,0.6892655367231638,0.6384180790960452,0.019774011299435026,36,35,90,40,33.25,25.25,83.5,35.0,29,20,73,28,0.7577092511013216,0.7288135593220338,0.8095238095238095,0.7395744527584388,0.7153162217401318,0.7677251845322399,0.6952380952380952,0.7024793388429752,0.6759259259259259,0.02568205992515632,0.009329557451737582,0.05350737383117655,0.5669291338582677,0.6428571428571429,0.5797101449275363,0.5429853027882384,0.5838448938897594,0.5116554774083546,0.48695652173913045,0.5333333333333333,0.4375,0.032601250029945024,0.044552351977596626,0.05143347279014017,2.947456530637899,5.7608593109014565,6.34428877022476,4.358898943540674
xgb=>xgb=>logit3,,,"(0, 0)",,"[105, 50]",,3,"[2, 2, 5]",0.7302259887005649,0.768361581920904,0.711864406779661,0.023079286212384465,32,21,105,39,30.75,17.0,95.5,33.75,30,9,87,28,0.8366533864541833,0.7664233576642335,0.9210526315789473,0.7991531088174642,0.7559503460975837,0.8483700745186026,0.7733333333333334,0.7435897435897436,0.8055555555555556,0.023136747820288885,0.008364848283641754,0.04352880783037914,0.6065573770491803,0.775,0.5652173913043478,0.5841286933485005,0.6702651515151515,0.5210239901311075,0.5233644859813085,0.5833333333333334,0.4745762711864407,0.03512054741284849,0.06881727237099725,0.038482211730263664,0.82915619758885,4.743416490252569,6.726812023536855,4.437059837324712
logit1=>logit3=>logit1=>logit2,,,"(2, 1)",,,[],2,"[1, 5, 1, 3]",0.6723163841807909,0.6949152542372882,0.6610169491525424,0.013249762033399538,38,24,101,34,35.25,22.75,91.25,27.75,31,21,83,22,0.7890625000000001,0.7651515151515151,0.8145161290322581,0.7579580681868733,0.7205419770807392,0.7998269931756516,0.7345132743362831,0.6974789915966386,0.7757009345794392,0.019782382318601615,0.02699706753337048,0.014863440761209603,0.53125,0.5862068965517241,0.4857142857142857,0.48610613900792476,0.546427007584643,0.4382498212355318,0.44897959183673475,0.4888888888888889,0.41509433962264153,0.030903023216092316,0.03959269884662364,0.028175270545789596,2.5860201081971503,1.0897247358851685,6.49519052838329,4.380353866983808
mlp=>logit3=>logit1=>mlp,"[[7], [116, 137]]","['adam', 'adam']","(1, 0)",,,,2,"[0, 5, 1, 0]",0.71045197740113,0.7457627118644068,0.672316384180791,0.028634371373888814,37,28,101,31,31.75,19.5,97.25,28.5,30,15,91,26,0.8178137651821863,0.7709923664122137,0.8706896551724138,0.7912141939837186,0.7540424620900968,0.8334325894066137,0.7583333333333334,0.7238805970149254,0.7647058823529411,0.02291876619400129,0.01891843003650815,0.040658532587455276,0.5794392523364487,0.6739130434782609,0.5081967213114754,0.5271007928921227,0.5988963707161759,0.4737947946070892,0.49056603773584895,0.5,0.4126984126984127,0.03795958511078295,0.06278858012825508,0.036438255413766205,3.031088913245535,5.024937810560445,3.897114317029974,1.8027756377319946
logit2=>logit3=>logit1=>mlp=>svc=>svc=>logit2,"[[130, 4]]",['lbfgs'],"(1, 2)","['rbf', 'poly']",,,3,"[3, 5, 1, 0, 4, 4, 3]",0.6850282485875706,0.711864406779661,0.6610169491525424,0.01846991077771471,43,21,97,32,37.75,18.0,92.25,29.0,31,12,88,27,0.7918367346938775,0.7578125,0.8878504672897196,0.7676527263265822,0.7101277752679183,0.8370809549912268,0.7478991596638654,0.6846153846153846,0.8073394495412844,0.0172322559312852,0.029140874238322435,0.03039579715131722,0.5321100917431193,0.6923076923076923,0.48333333333333334,0.5098017940760456,0.6209156731895735,0.43635823894775305,0.48275862068965514,0.5918367346938775,0.38571428571428573,0.021223548045106587,0.04144223420569013,0.04146427759747175,4.656984002549289,3.5355339059327378,3.832427429188973,1.8708286933869707
logit2=>mlp=>logit3=>svc=>mlp=>svc=>logit2,"[[8, 76, 57], [17, 135]]","['lbfgs', 'adam']","(0, 2)","['linear', 'poly']",,,2,"[3, 0, 5, 4, 0, 4, 3]",0.6765536723163842,0.7231638418079096,0.6440677966101694,0.028911708319856965,43,20,97,31,40.25,17.0,91.0,28.75,39,10,89,25,0.7983539094650206,0.7132352941176471,0.9065420560747663,0.7605588153848866,0.6931781747450566,0.8428363199862814,0.7385892116182572,0.6742424242424242,0.8165137614678899,0.022591036092211074,0.013928438293228491,0.037304531488449415,0.5585585585585585,0.7560975609756098,0.44285714285714284,0.5013093766656088,0.6321224628062607,0.41638655462184876,0.4424778761061947,0.5555555555555556,0.36764705882352944,0.041295044891767774,0.07567361762531451,0.028837429580673098,1.6393596310755,4.123105625617661,3.4641016151377544,2.277608394786075
logit3=>logit1=>mlp=>logit1=>mlp,"[[74, 49, 70], [11, 87]]","['sgd', 'sgd']","(2, 0)",,[],,3,"[5, 1, 0, 1, 0]",0.6963276836158192,0.711864406779661,0.6779661016949152,0.013473717534137668,49,12,106,24,44.0,9.75,100.5,22.75,40,8,96,20,0.8060836501901141,0.7210884353741497,0.9230769230769231,0.7887630684357168,0.6955570195796588,0.9118355007315948,0.7710843373493976,0.6620689655172414,0.8938053097345132,0.013160825713043002,0.024330400422790346,0.010938804052841476,0.4800000000000001,0.75,0.375,0.45803721031443806,0.7005208333333333,0.3412423272700052,0.4395604395604395,0.6666666666666666,0.32786885245901637,0.014415892161734474,0.035611443570774344,0.019599829056376625,3.6742346141747673,1.479019945774904,3.640054944640259,1.6393596310755
svc=>svc=>logit2=>logit1=>logit3=>logit2=>logit1,,,"(2, 2)","['rbf', 'rbf']",,,1,"[4, 4, 3, 1, 5, 3, 1]",0.673728813559322,0.7005649717514124,0.6271186440677966,0.027785756458906786,38,29,90,43,31.5,26.25,84.5,34.75,26,21,78,30,0.7725321888412018,0.7758620689655172,0.8090909090909091,0.7448978304795524,0.7292833540535235,0.7626032267483867,0.7105263157894737,0.680672268907563,0.7289719626168224,0.02385442666056696,0.034821208935811615,0.030478334847567328,0.6056338028169014,0.6037735849056604,0.6142857142857143,0.5442852708537728,0.5689035589046387,0.5249351979597809,0.47619047619047616,0.5172413793103449,0.4411764705882353,0.04699392157707168,0.03471205349826008,0.0688840427361825,5.123475382979799,3.112474899497183,5.123475382979799,4.968651728587948
svc=>logit3=>logit2,,,"(0, 1)",['linear'],,,1,"[4, 5, 3]",0.6850282485875706,0.711864406779661,0.6497175141242938,0.022730899631964802,37,32,97,33,34.25,21.5,93.25,28.0,30,14,88,21,0.7918367346938776,0.7580645161290323,0.8738738738738738,0.7698292321203204,0.7315186095395345,0.8147758691316376,0.752,0.7154471544715447,0.746031746031746,0.01563064167172828,0.01604183161432922,0.046274836748375875,0.540983606557377,0.6744186046511628,0.4852941176470588,0.4986992487509483,0.57148069938082,0.4473944407308378,0.40384615384615385,0.39622641509433965,0.4117647058823529,0.055381372915791136,0.10482034451090157,0.026470317559987678,2.5860201081971503,6.576473218982953,3.2691742076555053,4.358898943540674
rf=>svc=>logit2=>xgb=>rf=>xgb=>logit3,[],[],"(0, 1)",['poly'],"[36, 18]","[62, 4]",3,"[6, 4, 3, 2, 6, 2, 5]",0.6977401129943503,0.7344632768361582,0.6214689265536724,0.04475417942868602,39,28,105,30,34.5,19.0,96.25,27.25,29,15,83,25,0.8171206225680934,0.7835820895522388,0.868421052631579,0.7811869243477475,0.7349168835405684,0.8342709935332085,0.7124463519313305,0.680327868852459,0.7477477477477478,0.04051621643586031,0.036766597848604594,0.0502902279505758,0.5504587155963303,0.6666666666666666,0.46875,0.5066223347858387,0.5954570623175274,0.44234382515632514,0.4462809917355372,0.4909090909090909,0.4090909090909091,0.037747870583593274,0.06790726304738103,0.024585922030244883,3.640054944640259,5.338539126015656,8.104782538723663,1.7853571071357126
